"filename", "language", "JSON with Comments", "JSON", "Rust", "TypeScript", "Gradle", "Java Properties", "XML", "Batch", "TOML", "YAML", "CSS", "TypeScript JSX", "Markdown", "HTML", "comment", "blank", "total"
"c:\Alejandro\Projects\jason\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 13, 34
"c:\Alejandro\Projects\jason\bun.lock", "JSON with Comments", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 531
"c:\Alejandro\Projects\jason\components.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Alejandro\Projects\jason\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 3, 5, 87
"c:\Alejandro\Projects\jason\package-lock.json", "JSON", 0, 2040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2041
"c:\Alejandro\Projects\jason\package.json", "JSON", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"c:\Alejandro\Projects\jason\src-tauri\Cargo.lock", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 5225, 0, 0, 0, 0, 0, 2, 546, 5773
"c:\Alejandro\Projects\jason\src-tauri\Cargo.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 5, 28
"c:\Alejandro\Projects\jason\src-tauri\build.rs", "Rust", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Alejandro\Projects\jason\src-tauri\capabilities\default.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 2, 4, 40
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\values-night\themes.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 1, 9
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Alejandro\Projects\jason\src-tauri\gen\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Alejandro\Projects\jason\src-tauri\gen\android\gradle.properties", "Java Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 24
"c:\Alejandro\Projects\jason\src-tauri\gen\android\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
