Date : 2025-03-24 10:40:23
Directory : c:\Alejandro\Projects\jason
Total : 64 files,  14556 codes, 342 comments, 1614 blanks, all 16512 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TOML               |          2 |      5,244 |          6 |        551 |      5,801 |
| TypeScript JSX     |         24 |      4,683 |        167 |        569 |      5,419 |
| JSON               |          6 |      2,227 |          0 |          9 |      2,236 |
| TypeScript         |          6 |        722 |         38 |        121 |        881 |
| CSS                |          2 |        586 |         48 |         46 |        680 |
| JSON with Comments |          3 |        334 |          4 |        237 |        575 |
| YAML               |          2 |        293 |         17 |         17 |        327 |
| XML                |          9 |        279 |          9 |         11 |        299 |
| HTML               |          1 |         79 |          3 |          5 |         87 |
| Batch              |          1 |         39 |         29 |         22 |         90 |
| Rust               |          4 |         37 |          1 |         10 |         48 |
| Markdown           |          1 |         21 |          0 |         13 |         34 |
| Java Properties    |          2 |         10 |         20 |          1 |         31 |
| Gradle             |          1 |          2 |          0 |          2 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         64 |     14,556 |        342 |      1,614 |     16,512 |
| . (Files)                                                                                                  |          9 |      2,590 |         12 |        261 |      2,863 |
| src                                                                                                        |         34 |      6,266 |        265 |        750 |      7,281 |
| src (Files)                                                                                                |          9 |      1,075 |         69 |        111 |      1,255 |
| src-tauri                                                                                                  |         21 |      5,700 |         65 |        603 |      6,368 |
| src-tauri (Files)                                                                                          |          4 |      5,283 |          6 |        554 |      5,843 |
| src-tauri\capabilities                                                                                     |          1 |         53 |          0 |          4 |         57 |
| src-tauri\gen                                                                                              |         13 |        330 |         58 |         36 |        424 |
| src-tauri\gen\android                                                                                      |         13 |        330 |         58 |         36 |        424 |
| src-tauri\gen\android (Files)                                                                              |          3 |         46 |         48 |         24 |        118 |
| src-tauri\gen\android\app                                                                                  |          9 |        279 |          9 |         11 |        299 |
| src-tauri\gen\android\app\src                                                                              |          9 |        279 |          9 |         11 |        299 |
| src-tauri\gen\android\app\src\main                                                                         |          9 |        279 |          9 |         11 |        299 |
| src-tauri\gen\android\app\src\main (Files)                                                                 |          1 |         34 |          2 |          4 |         40 |
| src-tauri\gen\android\app\src\main\res                                                                     |          8 |        245 |          7 |          7 |        259 |
| src-tauri\gen\android\app\src\main\res\drawable                                                            |          1 |        170 |          0 |          1 |        171 |
| src-tauri\gen\android\app\src\main\res\drawable-v24                                                        |          1 |         30 |          0 |          0 |         30 |
| src-tauri\gen\android\app\src\main\res\layout                                                              |          1 |         16 |          0 |          2 |         18 |
| src-tauri\gen\android\app\src\main\res\values                                                              |          3 |         19 |          4 |          2 |         25 |
| src-tauri\gen\android\app\src\main\res\values-night                                                        |          1 |          5 |          3 |          1 |          9 |
| src-tauri\gen\android\app\src\main\res\xml                                                                 |          1 |          5 |          0 |          1 |          6 |
| src-tauri\gen\android\gradle                                                                               |          1 |          5 |          1 |          1 |          7 |
